1, 8
6, 2
6, 9
5, 3
7, 8
5, 2
1, 1
8, 9
2, 5
3, 7
9, 3
2, 5
7, 8
10, 3
1, 1
4, 9
1, 10
1, 10
9, 7
10, 7
8, 10
4, 9
1, 2
10, 3
7, 8
10, 10
2, 2
3, 6
4, 5
5, 9
8, 10
3, 3
5, 2
7, 8
3, 3
7, 9
1, 2
2, 2
3, 9
9, 2
7, 10
2, 4
4, 2
9, 9
6, 5
2, 5
4, 7
8, 2
4, 1
4, 8
9, 10
3, 4
4, 7
3, 4
2, 7
7, 10
7, 8
5, 9
1, 9
4, 4
2, 5
4, 10
8, 7
10, 6
3, 5
9, 5
9, 3
10, 7
9, 2
3, 6
8, 9
10, 6
7, 4
3, 1
8, 1
2, 7
4, 2
5, 8
7, 7
5, 8
6, 2
5, 3
6, 9
7, 10
10, 6
10, 5
9, 3
4, 4
5, 7
9, 3
3, 4
10, 10
2, 10
5, 8
5, 8
9, 10
6, 4
4, 10
9, 1
4, 9
